,date,country_code,continent,cumulative_pos,cumulative_dec,curr_pos,gdp_per_cap,gini_index,gini_year,population,pop_density,unemploy_rates,dec_pos_ratio,cpos_norm,cdec_norm
61,2021-02-15,JAM,,19305,378,18927.0,5582.263778,45.5,2004,2948279.0,270.9930748,7.71999979,0.019580419580419582,0.006547887767745183,0.00012821038985794765
62,2021-02-15,JPN,AS,415782,6952,408830.0,40246.88013,32.1,2008,126264931.0,347.1305898,2.400000095,0.01672030054211101,0.003292933332375559,5.505883498245447e-05
63,2021-02-15,JOR,AS,347250,4455,342795.0,4405.488412,33.7,2010,10101694.0,112.1424983,16.85000038,0.012829373650107992,0.03437542257763896,0.0004410151406288886
64,2021-02-15,KAZ,AS,251267,3140,248127.0,9812.390376,27.5,2017,18513930.0,6.769825721,4.800000191,0.012496666892190379,0.01357178081585055,0.00016960202398950413
65,2021-02-15,KEN,AF,102867,1795,101072.0,1816.546916,40.8,2015,52573973.0,90.29941666,2.599999905,0.017449716624379052,0.001956614540050074,3.4142369267013546e-05
66,2021-02-15,KGZ,AS,85516,1442,84074.0,1309.392992,27.3,2017,6456900.0,32.96558916,6.71999979,0.016862341550119276,0.013244126438383744,0.00022332698353699144
67,2021-02-15,LAO,AS,45,0,45.0,2534.89828,36.4,2012,7169455.0,30.59578423,0.620000005,0.0,6.276627721353994e-06,0.0
68,2021-03-14,LVA,EU,93781,1767,,17828.89466,34.2,2015,1912789.0,31.03839588,6.309999943,0.018841769654834136,0.049028408256216446,0.0009237819749067984
69,2021-02-15,LBN,AS,339122,3993,335129.0,7583.694722,31.8,2011,6855713.0,669.4941349,6.039999962,0.011774523622767027,0.0494656062761087,0.0005824339496125348
70,2021-02-15,LSO,AF,10254,243,10011.0,1118.131284,54.2,2010,2125268.0,69.43781291,23.86000061,0.023698069046225862,0.004824803271869712,0.0001143385210712249
71,2021-02-15,LBR,AF,1969,84,1885.0,621.8929536,35.3,2016,4937374.0,50.03090739,2.890000105,0.04266124936515998,0.00039879498697080674,1.7013092384737313e-05
72,2021-03-13,LTU,EU,205385,3396,10712.0,19601.89083,37.4,2015,2786844.0,44.73164618,6.260000229,0.016534800496628282,0.07369806131954282,0.0012185827409069185
73,2021-03-10,LUX,EU,57321,675,,114704.5942,33.8,2015,619896.0,250.1851852,5.599999905,0.011775788977861516,0.09246873669131596,0.0010888923303263773
74,2021-02-15,MDG,AF,19598,292,19306.0,523.3590645,42.6,2012,26969307.0,45.13985562,1.669999957,0.014899479538728442,0.0007266779231665093,1.0827122847465083e-05
75,2021-02-15,MWI,AF,29035,952,28083.0,411.5523404,44.7,2016,18628747.0,192.4407616,5.559999943,0.0327880144653005,0.00155861261092869,5.110381283292966e-05
76,2021-02-15,MYS,AS,264269,965,263304.0,11414.20698,41.0,2015,31949777.0,95.96282149,3.309999943,0.0036515822892582935,0.008271387934882926,3.0203653690603223e-05
77,2021-02-15,MLI,AF,8229,342,7887.0,879.0080104,33.0,2009,19658031.0,15.63501586,7.239999771,0.041560335399197956,0.00041860754009391885,1.7397469766936474e-05
78,2021-03-14,MLT,EU,26535,351,3124.0,29820.60325,29.4,2015,502653.0,1514.46875,3.400000095,0.013227812323346523,0.0527898968075392,0.0006982948475389583
79,2021-02-15,MRT,AF,16974,430,16544.0,1679.444873,32.6,2014,4525696.0,4.272163578,10.13000011,0.025332862024272415,0.003750583335690245,9.501301015357638e-05
80,2021-02-15,MUS,AF,595,10,585.0,11099.24028,38.5,2012,1265711.0,623.3019704,6.360000134,0.01680672268907563,0.00047009151378158207,7.900697710614824e-06
81,2021-02-15,MEX,,1995892,174657,1821235.0,9946.033829,48.3,2016,127575529.0,64.91462641,3.480000019,0.08750824192892201,0.015644787175446477,0.0013690478210754667
